系列,系列グループ,科目コード,科目名,単位数,年次,開講期,単位区分,週コマ数,講義区分,学修 ･教育到達目標,GPA:4,GPA:3,GPA:2,test,other
全学共通,,4184700,芝浦工業大学通論,2,1,前期・後期 ※,○,1,講義,E,5.6,33.3,38.9,24,76
全学共通,,10019001,技術経営入門,2,1,前期・後期 ※,○,1,講義,"A,B-1,C-1",35.3,29.4,23.5,25,75
全学共通,,10017001,ダイバーシティ入門,2,1,前期・後期 ※,○,1,講義,E,81,6.7,4.6,0,100
全学共通,,10220001,社会ボランティア実習（東京2020オリンピック・パラリンピック）,1,1,不定,○,1,演習,E,0,0,0,-1,-1
全学共通,,4185502,Ｊａｐａｎｅｓｅ Ｌａｎｇｕａｇｅ Ⅰ,2,1,前期・後期 ※,□,1,講義,F-2,66.7,18.5,0,40,60
全学共通,,4185503,Ｊａｐａｎｅｓｅ Ｌａｎｇｕａｇｅ Ⅱ,2,1,前期・後期 ※,□,1,講義,F-2,89.5,10.5,0,-1,-1
全学共通,,4185504,Ｊａｐａｎｅｓｅ Ｌａｎｇｕａｇｅ Ⅲ,2,1,前期・後期 ※,□,1,講義,F-2,100,0,0,45,55
数理基礎,数学,L0410100,線形代数第１,2,1,前期,◎,1,講義,A,55.1,26.2,15,100,0
数理基礎,数学,L0410110,線形代数第２,2,1,後期,○,1,講義,A,70.2,16,9.6,100,0
数理基礎,数学,L0410200,微分積分第１,4,1,前期,◎,2,講義,A,44.9,21.2,24.6,100,0
数理基礎,数学,L0410210,微分積分第２,4,1,後期,○,2,講義,A,58.8,22.4,12.9,100,0
数理基礎,数学,4105550,微分方程式,2,1,前期・後期 ※,○,1,講義,A,31.1,21.4,18.9,100,0
数理基礎,数学,L0410870,確率と統計第１,2,1,後期,◎,1,講義,A,52.2,18.3,24.3,100,0
数理基礎,数学,4109650,確率と統計第２,2,2,前期・後期 ※,○,1,講義,A,56,26.2,10.7,100,0
数理基礎,数学,4104800,関数論,2,2,前期・後期 ※,○,1,講義,A,25.9,29.6,18.5,100,0
数理基礎,数学,4106300,ベクトル解析,2,2,前期・後期 ※,○,1,講義,A,30.2,22.1,22.1,100,0
数理基礎,数学,2109100,ラプラス変換,2,2,前期・後期 ※,○,1,講義,A,32.3,33.3,23.7,100,0
数理基礎,数学,2109900,フーリエ解析,2,2,前期・後期 ※,○,1,講義,A,16.2,18.9,18.9,100,0
数理基礎,物理学,L0212510,物理学入門,4,1,前期,◎,2,講義,A,32.5,34.2,25,20,80
数理基礎,物理学,2125300,物理学実験,3,1,前期,○,3,実験,A,54.5,0,9.1,0,100
数理基礎,物理学,2134201,基礎熱統計力学,2,1,前期,○,1,講義,A,86,5.3,0,0,100
数理基礎,物理学,2134301,基礎熱統計力学演習,2,1,前期,○,1,演習,A,66.7,0,4.2,0,100
数理基礎,物理学,2135500,基礎力学および演習,4,1,後期,○,2,講義,A,51.6,24.2,9.7,0,100
数理基礎,物理学,2136000,基礎電磁気学および演習,4,1,後期,○,2,講義,A,46.7,6.7,13.3,0,100
数理基礎,物理学,2128700,相対論と量子論の基礎,2,2,後期,○,1,講義,A,60,13.3,20,20,80
数理基礎,物理学,2128800,相対論と量子論の基礎演習,2,2,後期,○,1,演習,A,0,0,0,0,100
数理基礎,化学,L0213140,基礎化学Ｂ,2,1,前期,◎,1,講義,A,54.7,26.5,13.7,60,40
数理基礎,化学,2132400,基礎無機化学,2,1,後期,○,1,講義,A,59.5,18.9,10.8,46,54
数理基礎,化学,2133000,基礎有機化学,2,1,後期,○,1,講義,A,57.7,18.7,14.6,50,50
数理基礎,化学,2134000,基礎生物化学,2,1,後期,○,1,講義,A,58.8,36.1,2.5,60,40
数理基礎,化学,2135000,基礎固体化学,2,1,後期,○,1,講義,A,30.4,30.4,19.6,50,50
数理基礎,化学,2133700,化学実験,2,1,前期・後期 ※,○,2,実験,A,75,15,3.8,8,92
言語,英語,FL062100,Ｒｅａｄｉｎｇ＆ＷｒｉｔｉｎｇⅠ,2,1,前期,◎,1,講義,F-2,60.8,30.4,7.6,60,40
言語,英語,6108000,Ｒｅａｄｉｎｇ＆ＷｒｉｔｉｎｇⅡ,2,2,後期,○,1,講義,F-2,77.1,19.1,1.5,60,40
言語,英語,FL068100,Ｌｉｓｔｅｎｉｎｇ＆ＳｐｅａｋｉｎｇⅠ,2,1,後期,◎,1,講義,F-2,56.8,32.6,8.5,60,40
言語,英語,6107000,Ｌｉｓｔｅｎｉｎｇ＆ＳｐｅａｋｉｎｇⅡ,2,2,前期,○,1,講義,F-2,82.3,12.3,2.3,50,50
言語,英語,6113500,工学英語 Ⅰ,2,2,前期,○,1,講義,F-2,60.1,25.8,11.1,60,40
言語,英語,6114300,工学英語 Ⅱ,2,2,後期,○,1,講義,F-2,58.2,25.2,13.3,60,40
言語,英語,6212500,ＴＯＥＩＣ Ⅰ,2,1,前期・後期 ※,○,1,講義,F-2,46,25.4,16.4,60,40
言語,英語,6213000,ＴＯＥＩＣ Ⅱ,2,1,前期・後期 ※,○,1,講義,F-2,29.8,37.3,17.3,60,40
人文社会系教養,,126500,経済学,2,1,前期・後期 ※,○,1,講義,E,36,20.9,28.1,60,40
人文社会系教養,,508200,生命倫理,2,1,前期・後期 ※,○,1,講義,D,42.6,25.2,17,0,100
人文社会系教養,,579300,メンタルヘルス・マネジメント,2,1,前期・後期 ※,○,1,講義,E,58.6,39.7,0,0,100
人文社会系教養,,597701,日本国憲法,2,1,前期・後期 ※,○,1,講義,E,33.1,36.4,20.7,60,40
人文社会系教養,,597901,現代の日本経済,2,1,前期・後期 ※,○,1,講義,E,29.8,18.1,31.5,50,50
人文社会系教養,,598901,社会心理学,2,1,前期・後期 ※,○,1,講義,E,70.9,10.9,5.5,40,60
人文社会系教養,,599001,認知心理学,2,1,前期・後期 ※,○,1,講義,E,20,51,15,0,100
人文社会系教養,,599101,教育心理学,2,1,前期・後期 ※,○,1,講義,E,73.9,26.1,0,40,60
人文社会系教養,,599201,プレゼンテーション入門,2,1,前期・後期 ※,○,1,講義,E,46.4,36.2,8.7,0,100
人文社会系教養,,599301,レポートライティング,2,1,前期・後期 ※,○,1,講義,F-1,36.1,22.1,17.2,20,80
人文社会系教養,,599901,アジア文化論,2,1,前期・後期 ※,○,1,講義,E,50,50,0,-1,-1
人文社会系教養,,600001,教育原論,2,1,前期・後期 ※,○,1,講義,E,81.6,7.1,3.1,0,100
人文社会系教養,,600201,法学入門,2,1,前期・後期 ※,○,1,講義,E,34.9,37.6,15.6,60,40
人文社会系教養,,4182500,技術者の倫理,2,1,前期・後期 ※,○,1,講義,D,51,20.5,17.2,0,100
人文社会系教養,,4185201,人間社会と環境問題,2,1,前期・後期 ※,○,1,講義,E,33.3,33.3,22.2,80,20
人文社会系教養,,4185801,福祉と技術,2,1,前期・後期 ※,○,1,講義,E,28.6,0,14.3,50,50
人文社会系教養,,4186500,現代日本の社会,2,1,前期・後期 ※,○,1,講義,E,38.3,39,17.5,40,60
人文社会系教養,,4186600,自己表現とコミュニケーション,2,1,前期・後期 ※,○,1,講義,E,46.7,16.7,33.3,0,100
人文社会系教養,,4186700,世界の言語と文化,2,1,前期・後期 ※,○,1,講義,E,55.5,28.9,7.8,80,20
人文社会系教養,,4187100,人間関係論,2,1,前期・後期 ※,○,1,講義,E,86.5,8.3,2.1,0,100
人文社会系教養,,4187200,教育の近現代史,2,1,前期・後期 ※,○,1,講義,"D,E",90.9,9.1,0,0,100
人文社会系教養,,4145900,文化人類学,2,1,前期・後期 ※,○,1,講義,E,28.2,38.2,18.7,80,20
人文社会系教養,,592600,情報アクセシビリティ論,2,2,前期・後期 ※,○,1,講義,E,54.5,9.1,9.1,20,80
人文社会系教養,,595900,情報技術と現代社会,2,2,前期・後期 ※,○,1,講義,E,46.4,39.3,3.6,30,70
人文社会系教養,,598701,映像メディア論,2,2,前期・後期 ※,○,1,講義,E,20,30,0,0,100
人文社会系教養,,601303,地域と環境,2,2,前期・後期 ※,○,1,講義,E,26.1,52.2,21.7,30,70
人文社会系教養,,4172300,地方自治論,2,2,前期・後期 ※,○,1,講義,E,20.7,37.9,37.9,35,65
人文社会系教養,,4186201,生産と消費の環境論,2,2,前期・後期 ※,○,1,講義,E,10,10,50,40,60
人文社会系教養,,4187300,哲学・倫理学,2,3,前期・後期 ※,○,1,講義,E,44.4,27.8,5.6,0,100
人文社会系教養,,598200,応用経済学,2,3,前期・後期 ※,○,1,講義,E,56.8,18.9,2.7,0,100
人文社会系教養,,600101,教育社会学,2,3,前期・後期 ※,○,1,講義,E,93.3,0,0,0,100
人文社会系教養,,600301,グローバリゼーション論,2,3,前期・後期 ※,○,1,講義,E,41.7,41.7,8.3,0,100
人文社会系教養,,600601,地域と経済,2,3,前期・後期 ※,○,1,講義,E,52.4,33.3,9.5,0,100
人文社会系教養,,600803,地域社会学,2,3,前期・後期 ※,○,1,講義,E,65.9,12.2,17.1,30,70
人文社会系教養,,4161600,知的財産法,2,3,前期・後期 ※,○,1,講義,E,33.3,33.3,26.7,60,40
人文社会系教養,,4186401,人文社会演習１,2,3,前期,○,1,演習,E,42.9,21.4,32.1,0,100
人文社会系教養,,4186503,人文社会演習２,2,3,後期,○,1,演習,E,45,40,15,0,100
体育健康,理論,6161100,ヘルスリテラシー＆スポーツコミュニケーション,2,1,前期,○,1,演習,E,92.8,4.3,1,0,100
